m1 h, m2 h, m3 h, m4 h, m1 a, m2 a, m3 a, m4 a, winner
-3.84,-0.9000000000000004,3.0809443507588528,-0.7590556492411471,-1.4799999999999995,0.8999999999999995,0.8865154264972777,-0.5934845735027219,1
0.48999999999999977,1.3499999999999996,0.10307692307692307,0.5930769230769228,-0.5300000000000002,-0.8799999999999999,1.3929132569558105,0.8629132569558102,1
-0.04999999999999982,-0.5899999999999999,0.29478527607361915,0.24478527607361933,0.4300000000000006,-0.9400000000000004,1.0772727272727267,1.5072727272727273,0
0.44999999999999973,1.4100000000000001,0.5176595744680852,0.9676595744680849,2.08,-0.13999999999999968,-0.4997574123989219,1.5802425876010782,0
1.7400000000000002,0.009999999999999787,-0.13235294117647056,1.6076470588235297,1.5500000000000003,-0.020000000000000462,-1.0841281138790033,0.46587188612099695,0
0.41999999999999993,0.3700000000000001,-0.7902386117136659,-0.370238611713666,-0.0699999999999994,-0.3100000000000005,0.5777371048252906,0.5077371048252912,1
-0.1900000000000004,-0.7299999999999995,0.18624309392265204,-0.0037569060773483542,0.5700000000000003,-0.9100000000000001,F,0.5738461538461541,0
0.4900000000000002,1.0899999999999999,-0.22967213114754115,0.26032786885245907,0.33000000000000007,-1.2299999999999995,1.2938461538461539,1.623846153846154,1
-1.1799999999999997,-0.41999999999999993,-1.4179310344827591,-2.597931034482759,0.44999999999999973,0.040000000000000036,-0.1693220338983048,0.28067796610169493,1
-0.6200000000000001,0.7400000000000002,-0.714999999999999,-1.334999999999999,1.69,-0.08999999999999986,-0.3264846870838882,1.3635153129161117,0
1.31,-0.2799999999999998,F,-1.5000621118012418,0.11000000000000032,-1.4900000000000002,-1.3875000000000002,-1.2774999999999999,1
0.46999999999999975,-0.08999999999999986,0.19060773480662974,0.6606077348066295,1.1099999999999999,-0.39999999999999947,-1.3637569060773482,-0.25375690607734835,1
-15.99,-0.009999999999999787,F,-20.28545454545454,-0.4899999999999993,-1.12,0.0019489559164735937,-0.48805104408352573,1
0.5900000000000007,-0.8700000000000001,0.5370725034199717,1.1270725034199724,2.44,0.0,-0.9256521739130434,1.5143478260869565,1
0.3900000000000001,1.3899999999999997,0.6968292682926829,1.086829268292683,0.06000000000000005,1.5699999999999998,-0.6817577197149642,-0.6217577197149642,1
1.15,0.3999999999999999,-0.1484853700516351,1.0015146299483648,-0.46999999999999975,0.5199999999999996,1.3295652173913042,0.8595652173913044,0
1.06,0.8699999999999997,-1.5785498489425978,-0.5185498489425977,2.13,0.0,-0.9152272727272726,1.2147727272727273,1
0.8499999999999996,-0.7999999999999998,-0.15626506024096365,0.693734939759036,0.3400000000000003,1.2099999999999995,1.563041722745626,1.9030417227456262,1
2.2,1.1600000000000001,-0.10846153846153839,2.0915384615384616,2.54,-1.2999999999999998,0.4777224199288259,3.017722419928826,1
-2.4800000000000004,0.7100000000000009,2.4980314960629926,0.018031496062992147,0.20000000000000018,-0.07000000000000028,-4.801428571428572,-4.6014285714285705,0
0.20999999999999996,-0.33000000000000007,0.8078145695364238,1.0178145695364238,-0.35000000000000053,-0.9299999999999997,-0.9046900269541771,-1.2546900269541776,1
2.03,-1.38,-1.1407331378299124,0.8892668621700874,1.17,1.3699999999999997,-0.25433384379785595,0.915666156202144,0
0.2699999999999996,-0.02999999999999936,2.2411453744493395,2.511145374449339,-1.3600000000000003,-0.4500000000000002,0.23176470588235354,-1.1282352941176468,1
-0.07999999999999963,0.5500000000000003,-0.10764705882352921,-0.18764705882352883,0.040000000000000036,0.029999999999999805,0.0,0.040000000000000036,0
0.2999999999999998,-0.7999999999999998,1.1100000000000003,1.4100000000000001,1.73,-0.06000000000000005,-1.1915384615384617,0.5384615384615383,1
